_RAJ2000,_DEJ2000,_V,RAJ2000,DEJ2000,2MASS,Jmag,e_Jmag,Hmag,e_Hmag,Kmag,e_Kmag,Qflg,Rflg,Bflg,Cflg,Xflg,Aflg
52.966486,30.602224,VizieR,52.966486,30.602224,03315195+3036080,13.923,0.027,13.306,0.028,13.079,0.026,AAA,222,111,000,0,0
52.971784,30.589386,VizieR,52.971784,30.589386,03315322+3035217,10.404,0.021,9.628,0.02,9.4,0.019,AAA,222,111,000,0,0
52.929219,30.61697,VizieR,52.929219,30.61697,03314301+3037010,16.159,0.096,15.64,0.165,15.36,0.139,ACB,222,111,000,0,0
52.957295,30.612329,VizieR,52.957295,30.612329,03314975+3036443,15.826,0.083,14.949,0.078,14.766,0.084,AAA,222,111,000,0,0
52.960571,30.623756,VizieR,52.960571,30.623756,03315053+3037255,16.398,0.125,15.483,0.121,15.142,0.104,BBB,222,111,000,0,0
52.941306,30.631615,VizieR,52.941306,30.631615,03314591+3037538,14.399,0.031,13.856,0.039,13.601,0.034,AAA,222,111,000,0,0
52.866328,30.566965,VizieR,52.866328,30.566965,03312791+3034010,14.341,0.03,13.733,0.034,13.562,0.038,AAA,222,111,000,0,0
52.85793,30.588772,VizieR,52.85793,30.588772,03312590+3035195,16.76,0.181,15.894,0.19,15.438,0.152,CCB,222,111,000,0,0
52.866619,30.57605,VizieR,52.866619,30.57605,03312798+3034337,16.183,0.093,15.495,0.132,15.264,0.136,ABB,222,111,000,0,0
52.883096,30.591612,VizieR,52.883096,30.591612,03313194+3035298,14.088,0.026,13.479,0.03,13.325,0.031,AAA,222,111,000,0,0
52.90387,30.606239,VizieR,52.90387,30.606239,03313692+3036224,15.748,0.073,14.95,0.09,14.819,0.098,AAA,222,111,000,0,0
52.843746,30.617723,VizieR,52.843746,30.617723,03312249+3037038,14.534,0.049,13.567,0.044,13.35,0.042,AAA,222,222,ccc,0,0
52.844808,30.618528,VizieR,52.844808,30.618528,03312275+3037067,15.023,0.045,14.437,0.055,14.222,0.055,AAA,222,222,ccc,0,0
52.844386,30.609533,VizieR,52.844386,30.609533,03312265+3036343,16.27,,15.398,,15.111,0.133,UUB,2,1,000,0,0
52.865178,30.620985,VizieR,52.865178,30.620985,03312764+3037155,16.598,0.144,15.463,0.14,15.112,0.119,BBB,222,111,000,0,0
52.855339,30.624968,VizieR,52.855339,30.624968,03312528+3037298,13.773,0.028,12.886,0.026,12.629,0.025,AAA,222,111,000,0,0
52.87422,30.625952,VizieR,52.87422,30.625952,03312981+3037334,14.555,0.031,13.792,0.038,13.6,0.035,AAA,222,111,000,0,0
52.867023,30.644079,VizieR,52.867023,30.644079,03312808+3038386,16.176,0.107,15.234,0.105,15.127,0.117,AAB,222,111,000,0,0
52.922034,30.617046,VizieR,52.922034,30.617046,03314128+3037013,16.749,0.171,16.017,0.204,15.857,0.228,CCD,222,111,000,0,0
52.90333,30.619076,VizieR,52.90333,30.619076,03313679+3037086,15.518,0.061,14.739,0.074,14.249,0.059,AAA,222,111,000,0,0
52.907841,30.615717,VizieR,52.907841,30.615717,03313788+3036565,15.186,0.047,14.606,0.068,14.536,0.071,AAA,222,111,000,0,0
52.913271,30.648293,VizieR,52.913271,30.648293,03313918+3038538,11.933,0.023,11.157,0.021,10.926,0.018,AAA,222,111,000,0,0
52.949857,30.648788,VizieR,52.949857,30.648788,03314796+3038556,14.181,0.028,13.198,0.026,12.816,0.026,AAA,222,111,000,0,0
52.904627,30.645956,VizieR,52.904627,30.645956,03313711+3038454,16.576,0.143,15.855,0.192,15.453,,BCU,220,110,000,0,0
52.877303,30.646431,VizieR,52.877303,30.646431,03313055+3038471,15.909,0.085,15.11,0.101,14.843,0.093,AAA,222,111,000,0,0
52.885856,30.649921,VizieR,52.885856,30.649921,03313260+3038597,13.958,0.026,13.227,0.027,13.015,0.026,AAA,222,111,000,0,0
52.921541,30.665035,VizieR,52.921541,30.665035,03314116+3039541,16.471,0.124,15.68,0.164,15.38,0.147,BCB,222,111,000,0,0
52.91363,30.673626,VizieR,52.91363,30.673626,03313927+3040250,16.517,0.158,15.816,0.197,15.252,0.147,CCB,222,111,000,0,0
52.911221,30.684978,VizieR,52.911221,30.684978,03313869+3041059,12.49,0.02,11.674,0.017,11.364,0.018,AAA,222,111,000,0,0
52.904464,30.671082,VizieR,52.904464,30.671082,03313707+3040158,15.314,0.054,14.434,0.057,14.099,0.054,AAA,222,111,000,0,0
52.91098,30.674858,VizieR,52.91098,30.674858,03313863+3040294,14.508,0.032,13.966,0.041,13.83,0.052,AAA,222,111,000,0,0
52.897852,30.660776,VizieR,52.897852,30.660776,03313548+3039387,14.853,0.04,14.173,0.042,13.983,0.048,AAA,222,111,000,0,0
52.985982,30.618738,VizieR,52.985982,30.618738,03315663+3037074,15.805,0.076,15.163,0.096,15.011,0.104,AAA,222,111,000,0,0
52.994293,30.610058,VizieR,52.994293,30.610058,03315863+3036362,15.66,0.066,14.865,0.07,14.603,0.071,AAA,222,111,c00,0,0
52.997182,30.618484,VizieR,52.997182,30.618484,03315932+3037065,15.221,0.057,14.627,0.07,14.349,0.064,AAA,222,111,ccc,0,0
52.9992,30.621672,VizieR,52.9992,30.621672,03315980+3037180,15.259,0.051,14.509,0.059,14.26,0.057,AAA,222,111,c00,0,0
53.000368,30.616961,VizieR,53.000368,30.616961,03320008+3037010,10.172,0.021,9.802,0.019,9.634,0.02,AAA,222,111,000,0,0
53.004887,30.617039,VizieR,53.004887,30.617039,03320117+3037013,14.026,0.027,13.448,0.028,13.268,0.033,AAA,222,111,000,0,0
52.995986,30.63529,VizieR,52.995986,30.63529,03315903+3038070,14.1,0.027,13.554,0.027,13.377,0.036,AAA,222,111,000,0,0
53.010436,30.635521,VizieR,53.010436,30.635521,03320250+3038078,16.987,0.206,16.002,0.192,16.013,0.242,CCD,222,111,000,0,0
53.017543,30.628325,VizieR,53.017543,30.628325,03320421+3037419,17.369,0.283,16.344,0.26,15.861,0.214,DDC,222,111,000,0,0
53.023837,30.651569,VizieR,53.023837,30.651569,03320572+3039056,16.555,0.137,15.452,0.12,15.205,0.117,BBB,222,111,000,0,0
53.010275,30.63829,VizieR,53.010275,30.63829,03320246+3038178,14.917,0.039,14.227,0.045,14.114,0.048,AAA,222,111,000,0,0
52.976163,30.667368,VizieR,52.976163,30.667368,03315427+3040025,16.183,0.104,15.541,0.123,15.51,0.159,ABC,222,111,000,0,0
52.973523,30.654507,VizieR,52.973523,30.654507,03315364+3039162,16.809,0.174,15.677,0.147,15.367,0.125,CBB,222,111,000,0,0
53.002108,30.663336,VizieR,53.002108,30.663336,03320050+3039480,14.76,0.039,13.173,,13.884,0.046,AUA,262,202,c0c,0,0
53.009696,30.673164,VizieR,53.009696,30.673164,03320232+3040233,16.692,0.164,16.258,0.269,15.656,0.166,CDC,222,111,000,0,0
53.001834,30.666897,VizieR,53.001834,30.666897,03320044+3040008,15.931,0.083,15.289,0.104,15.037,0.102,AAA,222,111,000,0,0
53.003112,30.664614,VizieR,53.003112,30.664614,03320074+3039526,16.462,0.137,15.826,0.224,15.388,0.138,BDB,222,111,ccc,0,0
53.001475,30.662426,VizieR,53.001475,30.662426,03320035+3039447,13.398,0.032,12.828,,12.693,0.037,AUA,262,202,c0c,0,0
53.049006,30.66176,VizieR,53.049006,30.66176,03321176+3039423,16.614,0.149,15.537,0.123,15.426,0.151,BBB,222,111,000,0,0
53.033204,30.680883,VizieR,53.033204,30.680883,03320796+3040511,15.885,0.089,15.543,0.13,15.545,0.172,ABC,222,221,cc0,0,0
53.033509,30.682297,VizieR,53.033509,30.682297,03320804+3040562,16.42,0.123,15.737,0.17,15.224,0.129,BCB,222,221,cc0,0,0
53.04233,30.665585,VizieR,53.04233,30.665585,03321015+3039561,16.612,0.144,16.742,,16.983,,BUU,200,100,000,0,0
53.03557,30.656757,VizieR,53.03557,30.656757,03320853+3039243,14.781,0.037,13.919,0.039,13.622,0.034,AAA,222,111,000,0,0
